metric_date,tenant_id,section,eligible_tickets_total,active_agents_total,source
2026-01-21,org_demo,billing,120,40,ops_export
2026-01-22,org_demo,billing,121,41,ops_export
2026-01-23,org_demo,billing,122,42,ops_export
2026-01-24,org_demo,billing,123,43,ops_export
2026-01-25,org_demo,billing,124,40,ops_export
2026-01-26,org_demo,billing,125,41,ops_export
2026-01-27,org_demo,billing,126,42,ops_export
2026-01-28,org_demo,billing,127,43,ops_export
2026-01-29,org_demo,billing,128,40,ops_export
2026-01-30,org_demo,billing,129,41,ops_export
2026-01-31,org_demo,billing,120,42,ops_export
2026-02-01,org_demo,billing,121,43,ops_export
2026-02-02,org_demo,billing,122,40,ops_export
2026-02-03,org_demo,billing,123,41,ops_export
2026-02-04,org_demo,billing,124,42,ops_export
2026-02-05,org_demo,billing,125,43,ops_export
2026-02-06,org_demo,billing,126,40,ops_export
2026-02-07,org_demo,billing,127,41,ops_export
2026-02-08,org_demo,billing,128,42,ops_export
2026-02-09,org_demo,billing,129,43,ops_export
2026-02-10,org_demo,billing,120,40,ops_export
2026-02-11,org_demo,billing,121,41,ops_export
2026-02-12,org_demo,billing,122,42,ops_export
2026-02-13,org_demo,billing,123,43,ops_export
2026-02-14,org_demo,billing,124,40,ops_export
2026-02-15,org_demo,billing,125,41,ops_export
2026-02-16,org_demo,billing,126,42,ops_export
2026-02-17,org_demo,billing,127,43,ops_export
2026-02-18,org_demo,billing,122,40,ops_export
